,player_1_name,player_2_name,player_1_url,player_2_url,wins,losses,ties,nc,total_matches,height,weight,reach,stance,age,ss,ss_acc,ss_abs,ss_def,td,td_acc,td_def,sub,prev,weight_class
29,Justin Willis,James Mulheron,http://ufcstats.com/fighter-details/ce1e867808ef5fce,http://ufcstats.com/fighter-details/8d5350fa18b79e9a,-3,0,0,0,-3,3,21,5.0,-1,1,0.97,0.28,-0.9,0.15,0.96,0.66,0.11,0.0,2,Heavyweight
30,Danny Roberts,Bobby Nash,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9,http://ufcstats.com/fighter-details/7dfb56f24fe5ddea,10,3,0,0,13,1,0,0.0,-1,3,-0.34,0.03,-0.45,0.0,-2.11,-0.23,-0.43,-1.3,1,Welterweight
31,Alexandre Pantoja,Neil Seery,http://ufcstats.com/fighter-details/a0f0004aadf10b71,http://ufcstats.com/fighter-details/49a74b9fb2e45fdf,9,-8,0,0,1,1,0,3.0,0,-11,0.69,0.07,-0.41,-0.04,0.59,0.13,0.14,-0.4,2,Flyweight
32,Galore Bofando,Charlie Ward,http://ufcstats.com/fighter-details/8a56ea383fd26e52,http://ufcstats.com/fighter-details/e81dd0bb8a64b550,2,0,0,0,2,0,0,,-1,-2,1.99,0.26,-3.58,0.01,2.37,1.0,0.5,0.0,1,Welterweight
33,Danny Henry,Daniel Teymur,http://ufcstats.com/fighter-details/f7d73e452b064bf2,http://ufcstats.com/fighter-details/fbf0537e420e698e,5,0,0,0,5,7,0,4.0,0,0,2.12,0.05,0.23,-0.11,0.18,0.15,-0.1,1.9,0,Featherweight
34,Brett Johns,Albert Morales,http://ufcstats.com/fighter-details/ec52462a1b41f714,http://ufcstats.com/fighter-details/544d7460b3e44393,10,-2,-1,0,7,-2,0,-1.0,0,-1,-0.95,0.14,-0.12,-0.03,4.01,0.14,-0.12,0.8,2,Bantamweight
35,Leslie Smith,Amanda Lemos,http://ufcstats.com/fighter-details/76984112f697631f,http://ufcstats.com/fighter-details/3df5493bb279226f,-3,5,0,0,2,5,20,1.0,1,5,3.05,-0.17,4.44,0.01,-1.12,-0.55,-0.19,-0.7,0,Bantamweight
36,Santiago Ponzinibbio,Gunnar Nelson,http://ufcstats.com/fighter-details/6d1bffff14897645,http://ufcstats.com/fighter-details/fd55393021a8c255,11,1,-1,0,11,1,0,1.0,1,2,3.17,-0.19,1.72,0.1,-1.3,-0.29,-0.06,-0.9,0,Welterweight
37,Cynthia Calvillo,Joanne Wood,http://ufcstats.com/fighter-details/98215d037be5bcb7,http://ufcstats.com/fighter-details/12f91bfa8f1f723b,-6,-3,1,0,-8,-2,0,-1.0,0,-2,-2.6,-0.11,-0.59,0.13,0.35,-0.11,0.16,0.5,0,Flyweight
38,Paul Felder,Stevie Ray,http://ufcstats.com/fighter-details/e5010b1b94ca5755,http://ufcstats.com/fighter-details/31a13532e724ca2b,-6,-3,0,0,-9,1,0,0.0,1,6,-0.03,0.0,0.51,-0.06,-0.46,-0.18,0.09,-0.4,-1,Lightweight
39,Jack Marshman,Ryan Janes,http://ufcstats.com/fighter-details/045f25b3a4c08e81,http://ufcstats.com/fighter-details/b59037262c8fe060,13,7,0,0,20,-3,0,-3.0,0,-8,-4.95,-0.23,-1.34,-0.03,-0.35,-1.0,-0.38,0.0,0,Middleweight
40,Khalil Rountree Jr.,Paul Craig,http://ufcstats.com/fighter-details/749f572d1d3161fb,http://ufcstats.com/fighter-details/eabf206b162b3b83,-4,0,-1,1,-4,-2,0,0.0,-1,-3,1.2,-0.08,1.4,0.03,-1.85,-0.2,0.04,-1.6,1,Light Heavyweight
41,Justin Willis,James Mulheron,http://ufcstats.com/fighter-details/ce1e867808ef5fce,http://ufcstats.com/fighter-details/8d5350fa18b79e9a,-3,0,0,0,-3,3,21,5.0,-1,1,0.97,0.28,-0.9,0.15,0.96,0.66,0.11,0.0,2,Heavyweight
42,Danny Roberts,Bobby Nash,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9,http://ufcstats.com/fighter-details/7dfb56f24fe5ddea,10,3,0,0,13,1,0,0.0,-1,3,-0.34,0.03,-0.45,0.0,-2.11,-0.23,-0.43,-1.3,1,Welterweight
43,Alexandre Pantoja,Neil Seery,http://ufcstats.com/fighter-details/a0f0004aadf10b71,http://ufcstats.com/fighter-details/49a74b9fb2e45fdf,9,-8,0,0,1,1,0,3.0,0,-11,0.69,0.07,-0.41,-0.04,0.59,0.13,0.14,-0.4,2,Flyweight
44,Galore Bofando,Charlie Ward,http://ufcstats.com/fighter-details/8a56ea383fd26e52,http://ufcstats.com/fighter-details/e81dd0bb8a64b550,2,0,0,0,2,0,0,,-1,-2,1.99,0.26,-3.58,0.01,2.37,1.0,0.5,0.0,1,Welterweight
45,Danny Henry,Daniel Teymur,http://ufcstats.com/fighter-details/f7d73e452b064bf2,http://ufcstats.com/fighter-details/fbf0537e420e698e,5,0,0,0,5,7,0,4.0,0,0,2.12,0.05,0.23,-0.11,0.18,0.15,-0.1,1.9,0,Featherweight
46,Brett Johns,Albert Morales,http://ufcstats.com/fighter-details/ec52462a1b41f714,http://ufcstats.com/fighter-details/544d7460b3e44393,10,-2,-1,0,7,-2,0,-1.0,0,-1,-0.95,0.14,-0.12,-0.03,4.01,0.14,-0.12,0.8,2,Bantamweight
47,Leslie Smith,Amanda Lemos,http://ufcstats.com/fighter-details/76984112f697631f,http://ufcstats.com/fighter-details/3df5493bb279226f,-3,5,0,0,2,5,20,1.0,1,5,3.05,-0.17,4.44,0.01,-1.12,-0.55,-0.19,-0.7,0,Bantamweight
48,Santiago Ponzinibbio,Gunnar Nelson,http://ufcstats.com/fighter-details/6d1bffff14897645,http://ufcstats.com/fighter-details/fd55393021a8c255,11,1,-1,0,11,1,0,1.0,1,2,3.17,-0.19,1.72,0.1,-1.3,-0.29,-0.06,-0.9,0,Welterweight
49,Cynthia Calvillo,Joanne Wood,http://ufcstats.com/fighter-details/98215d037be5bcb7,http://ufcstats.com/fighter-details/12f91bfa8f1f723b,-6,-3,1,0,-8,-2,0,-1.0,0,-2,-2.6,-0.11,-0.59,0.13,0.35,-0.11,0.16,0.5,0,Flyweight
50,Paul Felder,Stevie Ray,http://ufcstats.com/fighter-details/e5010b1b94ca5755,http://ufcstats.com/fighter-details/31a13532e724ca2b,-6,-3,0,0,-9,1,0,0.0,1,6,-0.03,0.0,0.51,-0.06,-0.46,-0.18,0.09,-0.4,-1,Lightweight
51,Jack Marshman,Ryan Janes,http://ufcstats.com/fighter-details/045f25b3a4c08e81,http://ufcstats.com/fighter-details/b59037262c8fe060,13,7,0,0,20,-3,0,-3.0,0,-8,-4.95,-0.23,-1.34,-0.03,-0.35,-1.0,-0.38,0.0,0,Middleweight
52,Khalil Rountree Jr.,Paul Craig,http://ufcstats.com/fighter-details/749f572d1d3161fb,http://ufcstats.com/fighter-details/eabf206b162b3b83,-4,0,-1,1,-4,-2,0,0.0,-1,-3,1.2,-0.08,1.4,0.03,-1.85,-0.2,0.04,-1.6,1,Light Heavyweight
53,Justin Willis,James Mulheron,http://ufcstats.com/fighter-details/ce1e867808ef5fce,http://ufcstats.com/fighter-details/8d5350fa18b79e9a,-3,0,0,0,-3,3,21,5.0,-1,1,0.97,0.28,-0.9,0.15,0.96,0.66,0.11,0.0,2,Heavyweight
54,Danny Roberts,Bobby Nash,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9,http://ufcstats.com/fighter-details/7dfb56f24fe5ddea,10,3,0,0,13,1,0,0.0,-1,3,-0.34,0.03,-0.45,0.0,-2.11,-0.23,-0.43,-1.3,1,Welterweight
55,Alexandre Pantoja,Neil Seery,http://ufcstats.com/fighter-details/a0f0004aadf10b71,http://ufcstats.com/fighter-details/49a74b9fb2e45fdf,9,-8,0,0,1,1,0,3.0,0,-11,0.69,0.07,-0.41,-0.04,0.59,0.13,0.14,-0.4,2,Flyweight
56,Galore Bofando,Charlie Ward,http://ufcstats.com/fighter-details/8a56ea383fd26e52,http://ufcstats.com/fighter-details/e81dd0bb8a64b550,2,0,0,0,2,0,0,,-1,-2,1.99,0.26,-3.58,0.01,2.37,1.0,0.5,0.0,1,Welterweight
57,Danny Henry,Daniel Teymur,http://ufcstats.com/fighter-details/f7d73e452b064bf2,http://ufcstats.com/fighter-details/fbf0537e420e698e,5,0,0,0,5,7,0,4.0,0,0,2.12,0.05,0.23,-0.11,0.18,0.15,-0.1,1.9,0,Featherweight
58,Brett Johns,Albert Morales,http://ufcstats.com/fighter-details/ec52462a1b41f714,http://ufcstats.com/fighter-details/544d7460b3e44393,10,-2,-1,0,7,-2,0,-1.0,0,-1,-0.95,0.14,-0.12,-0.03,4.01,0.14,-0.12,0.8,2,Bantamweight
59,Leslie Smith,Amanda Lemos,http://ufcstats.com/fighter-details/76984112f697631f,http://ufcstats.com/fighter-details/3df5493bb279226f,-3,5,0,0,2,5,20,1.0,1,5,3.05,-0.17,4.44,0.01,-1.12,-0.55,-0.19,-0.7,0,Bantamweight
